,Player,Tm,Yr2019_20
130,Dante Exum,CLE,"$9,600,000 "
131,Deandre Ayton,PHO,"$9,562,920 "
132,Delon Wright,DAL,"$9,473,684 "
133,Jerami Grant,DEN,"$9,346,153 "
134,Al-Farouq Aminu,ORL,"$9,258,000 "
135,George Hill,MIL,"$9,133,907 "
136,Kyle Anderson,MEM,"$9,073,050 "
137,Fred VanVleet,TOR,"$9,000,000 "
138,Ja Morant,MEM,"$8,730,240 "
139,C.J. Miles,WAS,"$8,730,158 "
140,Lonzo Ball,NOP,"$8,719,320 "
141,E'Twaun Moore,NOP,"$8,664,928 "
142,Marvin Bagley,SAC,"$8,556,120 "
143,Bogdan Bogdanović,SAC,"$8,529,386 "
144,Tyus Jones,MEM,"$8,408,000 "
145,P.J. Tucker,HOU,"$8,349,039 "
146,Cristiano Felício,CHI,"$8,156,500 "
147,Ben Simmons,PHI,"$8,113,930 "
148,Kentavious Caldwell-Pope,LAL,"$8,089,282 "
149,Maxi Kleber,DAL,"$8,000,000 "
150,Lou Williams,LAC,"$8,000,000 "
151,Elfrid Payton,NYK,"$8,000,000 "
152,Thomas Bryant,WAS,"$7,936,508 "
153,RJ Barrett,NYK,"$7,839,960 "
154,Jayson Tatum,BOS,"$7,830,000 "
155,Jae Crowder,MIA,"$7,815,533 "
156,Wayne Ellington,NYK,"$7,804,878 "
157,Luka Dončić,DAL,"$7,683,360 "
158,Joe Harris,BRK,"$7,670,000 "
159,Seth Curry,DAL,"$7,441,860 "
160,Doug McDermott,IND,"$7,333,334 "
161,Langston Galloway,DET,"$7,333,333 "
162,Derrick Rose,DET,"$7,317,073 "
163,Brandon Ingram,NOP,"$7,265,485 "
164,D.J. Augustin,ORL,"$7,250,000 "
165,Darius Miller,NOP,"$7,250,000 "
166,De'Andre Hunter,ATL,"$7,068,360 "
167,Josh Jackson,MEM,"$7,059,480 "
168,Dāvis Bertāns,WAS,"$7,000,000 "
169,Ersan İlyasova,MIL,"$7,000,000 "
170,Jaren Jackson,MEM,"$6,927,480 "
171,DeMarre Carroll,SAS,"$6,842,307 "
172,Nemanja Bjelica,SAC,"$6,825,000 "
173,Jaylen Brown,BOS,"$6,534,829 "
174,Jabari Parker,SAC,"$6,500,000 "
175,Ivica Zubac,LAC,"$6,481,482 "
176,Joakim Noah,NYK,"$6,431,666 "
177,Darius Garland,CLE,"$6,400,920 "
178,De'Aaron Fox,SAC,"$6,392,760 "
179,Trae Young,ATL,"$6,273,000 "
180,Montrezl Harrell,LAC,"$6,000,000 "
181,Ish Smith,WAS,"$5,853,659 "
182,Marco Belinelli,SAS,"$5,846,154 "
183,Jarrett Culver,MIN,"$5,813,640 "
184,Jonathan Isaac,ORL,"$5,806,440 "
185,Rodney Hood,POR,"$5,718,000 "
186,Mohamed Bamba,ORL,"$5,697,600 "
187,Timofey Mozgov,ORL,"$5,573,333 "
188,Trey Lyles,SAS,"$5,500,000 "
189,Deron Williams,BRK,"$5,474,787 "
190,Aron Baynes,PHO,"$5,453,280 "
191,Kris Dunn,CHI,"$5,348,007 "
192,Josh Smith,DET,"$5,331,729 "
193,Coby White,CHI,"$5,307,120 "
194,Lauri Markkanen,CHI,"$5,300,400 "
195,Ryan Anderson,MIA,"$5,214,583 "
196,Wendell Carter,CHI,"$5,201,400 "
197,Pau Gasol,SAS,"$5,100,000 "
198,Daniel Theis,BOS,"$5,000,000 "
199,Luol Deng,LAL,"$4,990,000 "
200,Jaxson Hayes,NOP,"$4,862,040 "
201,Buddy Hield,SAC,"$4,861,208 "
202,Frank Ntilikina,NYK,"$4,855,800 "
203,Ed Davis,UTA,"$4,767,000 "
204,Richaun Holmes,SAC,"$4,767,000 "
205,Frank Kaminsky,PHO,"$4,767,000 "
206,Mike Scott,PHI,"$4,767,000 "
207,Avery Bradley,LAL,"$4,767,000 "
208,Robin Lopez,MIL,"$4,767,000 "
209,JaMychal Green,LAC,"$4,767,000 "
210,Justin Holiday,IND,"$4,767,000 "
211,Garrett Temple,BRK,"$4,767,000 "
212,Enes Kanter,BOS,"$4,767,000 "
213,Collin Sexton,CLE,"$4,764,960 "
214,Rodney McGruder,LAC,"$4,629,630 "
215,Rui Hachimura,WAS,"$4,469,160 "
216,Kevon Looney,GSW,"$4,464,286 "
217,Dennis Smith,NYK,"$4,463,640 "
218,Jamal Murray,DEN,"$4,444,746 "
219,Kevin Knox,NYK,"$4,380,120 "
220,Cam Reddish,ATL,"$4,245,720 "
221,Zach Collins,POR,"$4,240,200 "
222,Mikal Bridges,PHO,"$4,161,000 "
223,Alex Len,SAC,"$4,160,000 "
224,Cameron Johnson,PHO,"$4,033,440 "
225,Malik Monk,CHO,"$4,028,400 "
226,Dorian Finney-Smith,DAL,"$4,000,000 "
227,JaVale McGee,LAL,"$4,000,000 "
228,Patrick McCaw,TOR,"$4,000,000 "
229,Reggie Bullock,NYK,"$4,000,000 "
230,Shai Gilgeous-Alexander,OKC,"$3,952,920 "
231,Nicolò Melli,NOP,"$3,902,439 "
232,P.J. Washington,CHO,"$3,831,840 "
233,Luke Kennard,DET,"$3,827,160 "
234,Miles Bridges,CHO,"$3,755,400 "
235,Jakob Poeltl,SAS,"$3,754,886 "
236,Tyler Herro,MIA,"$3,640,200 "
237,Donovan Mitchell,UTA,"$3,635,760 "
238,Stanley Johnson,TOR,"$3,623,000 "
239,Jake Layman,MIN,"$3,581,986 "
240,Thon Maker,DET,"$3,569,643 "
241,Jerome Robinson,WAS,"$3,567,720 "
242,Allonzo Trier,NYK,"$3,551,100 "
243,Danuel House,HOU,"$3,540,000 "
244,Domantas Sabonis,IND,"$3,529,555 "
245,Mirza Teletović,MIL,"$3,500,000 "
246,Boban Marjanović,DAL,"$3,500,000 "
247,T.J. McConnell,IND,"$3,500,000 "
248,DeMarcus Cousins,LAL,"$3,500,000 "
249,Taurean Waller-Prince,BRK,"$3,481,986 "
250,Dario Šarić,PHO,"$3,481,986 "
251,Romeo Langford,BOS,"$3,458,400 "
252,Bam Adebayo,MIA,"$3,454,080 "
253,Kyle Korver,PHO,"$3,440,000 "
254,Michael Porter,DEN,"$3,389,400 "
255,Denzel Valentine,CHI,"$3,377,569 "
256,Juan Hernangómez,MIN,"$3,321,030 "
257,Sekou Doumbouya,DET,"$3,285,120 "
258,Justin Jackson,DAL,"$3,280,920 "
259,Troy Brown,WAS,"$3,219,480 "
260,Jon Leuer,MIL,"$3,169,348 "
261,Yogi Ferrell,SAC,"$3,150,000 "
262,Guerschon Yabusele,BOS,"$3,117,240 "
263,Zhaire Smith,PHI,"$3,058,800 "
264,Dwight Howard,MEM,"$3,039,097 "
265,Khem Birch,ORL,"$3,000,000 "
266,Ryan Arcidiacono,CHI,"$3,000,000 "
267,Quinn Cook,LAL,"$3,000,000 "
268,Ömer Aşık,CHI,"$3,000,000 "
269,Nickeil Alexander-Walker,NOP,"$2,964,840 "
270,D.J. Wilson,MIL,"$2,961,120 "
271,Cedi Osman,CLE,"$2,907,143 "
272,Donte DiVincenzo,MIL,"$2,905,800 "
273,Bryn Forbes,SAS,"$2,875,000 "
274,Andrew Nicholson,POR,"$2,844,429 "
275,Goga Bitadze,IND,"$2,816,760 "
