,Player,tm,pos,yr2019_20,predicted_salary,Age,PER,pts,g,mp,ast,stl,blk
391,Aaron Holiday,IND,PG,"$2,239,200.00","$3,847,907.40",23.0,11.6,627.0,66.0,1617.0,225.0,55.0,16.0
482,Royce O'Neale,UTA,PF,"$1,618,520.00","$4,830,384.32",26.0,9.5,450.0,71.0,2049.0,180.0,59.0,32.0
397,Austin Rivers,HOU,SG,"$2,174,318.00","$5,421,061.07",27.0,10.4,596.0,68.0,1594.0,113.0,49.0,10.0
399,Anfernee Simons,POR,SG,"$2,149,560.00","$-2,701,736.37",20.0,9.0,579.0,70.0,1449.0,97.0,26.0,10.0
499,Shake Milton,PHI,SG,"$1,445,697.00","$4,791,457.99",23.0,14.4,377.0,40.0,805.0,104.0,20.0,7.0
342,Kevin Huerter,ATL,SG,"$2,636,280.00","$5,807,369.57",21.0,11.5,684.0,56.0,1760.0,213.0,51.0,27.0
491,Chris Boucher,TOR,PF,"$1,588,231.00","$5,047,479.76",27.0,20.7,411.0,62.0,819.0,26.0,22.0,61.0
427,Jordan Poole,GSW,SG,"$1,964,760.00","$-484,952.00",20.0,7.2,503.0,57.0,1274.0,134.0,35.0,10.0
329,Cedi Osman,CLE,SF,"$2,907,143.00","$6,161,672.66",24.0,10.7,718.0,65.0,1910.0,154.0,54.0,16.0
424,Landry Shamet,LAC,SG,"$1,995,120.00","$2,662,963.08",22.0,8.5,492.0,53.0,1452.0,99.0,20.0,10.0
331,Bryn Forbes,SAS,SG,"$2,875,000.00","$6,435,764.56",26.0,11.1,707.0,63.0,1579.0,108.0,33.0,0.0
270,Jamal Murray,DEN,PG,"$4,444,746.00","$11,571,203.45",22.0,17.7,1091.0,59.0,1904.0,284.0,67.0,17.0
551,Daniel Gafford,CHI,C,"$898,310.00","$1,121,584.64",21.0,16.2,220.0,43.0,609.0,21.0,13.0,56.0
461,Georges Niang,UTA,PF,"$1,678,854.00","$270,748.91",26.0,11.7,392.0,66.0,923.0,44.0,18.0,5.0
509,Isaac Bonga,WAS,SF,"$1,416,852.00","$-3,999,589.89",20.0,10.2,330.0,66.0,1250.0,76.0,45.0,22.0
563,Shaquille Harrison,CHI,SF,"$898,310.00","$4,830,960.80",26.0,17.8,209.0,43.0,484.0,49.0,34.0,19.0
487,Frank Jackson,NOP,PG,"$1,618,520.00","$-3,391,200.48",21.0,9.1,371.0,59.0,797.0,61.0,17.0,4.0
205,Luka Dončić,DAL,PG,"$7,683,360.00","$19,097,233.43",20.0,27.6,1759.0,61.0,2047.0,538.0,62.0,14.0
452,Emmanuel Mudiay,UTA,PG,"$1,737,145.00","$1,396,250.65",23.0,13.0,395.0,54.0,850.0,116.0,24.0,10.0
553,Matt Thomas,TOR,SG,"$898,310.00","$2,552,412.34",25.0,13.3,202.0,41.0,440.0,22.0,10.0,1.0
288,Miles Bridges,CHO,SF,"$3,755,400.00","$5,560,016.94",21.0,12.1,843.0,65.0,1995.0,114.0,40.0,48.0
515,Hamidou Diallo,OKC,SF,"$1,416,852.00","$76,713.74",21.0,9.3,318.0,46.0,896.0,36.0,37.0,9.0
414,Nerlens Noel,OKC,C,"$2,028,594.00","$6,227,684.31",25.0,20.4,449.0,61.0,1127.0,57.0,59.0,91.0
