,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
23,Sviatoslav Mykhailiuk,DET,SF,1416852.0,2811.21,22.0,11.2,504.0,56.0,1265.0,106.0,41.0,4.0
24,Ben McLemore,HOU,SG,2028594.0,2837.19,26.0,11.8,715.0,71.0,1619.0,58.0,45.0,16.0
25,Josh Hart,NOP,SF,1934160.0,2948.41,24.0,11.9,656.0,65.0,1755.0,108.0,63.0,23.0
26,Brad Wanamaker,BOS,PG,1445697.0,2968.58,30.0,12.8,487.0,71.0,1369.0,179.0,61.0,14.0
27,Shai Gilgeous-Alexander,OKC,SG,3952920.0,2969.89,21.0,17.7,1331.0,70.0,2428.0,232.0,79.0,47.0
28,Bam Adebayo,MIA,PF,3454080.0,3014.03,22.0,20.3,1146.0,72.0,2417.0,368.0,82.0,93.0
29,John Collins,ATL,PF,2686560.0,3035.66,22.0,23.5,885.0,41.0,1363.0,60.0,31.0,66.0
30,Jalen Brunson,DAL,PG,1416582.0,3039.88,23.0,14.9,466.0,57.0,1022.0,188.0,22.0,4.0
31,Jarrett Allen,BRK,C,2376840.0,3066.89,21.0,20.7,775.0,70.0,1852.0,110.0,40.0,92.0
32,Domantas Sabonis,IND,C,3529555.0,3077.21,23.0,20.7,1147.0,62.0,2159.0,310.0,47.0,30.0
33,Anžejs Pasečņiks,WAS,C,482144.0,3090.67,24.0,11.3,156.0,27.0,437.0,18.0,9.0,12.0
34,OG Anunoby,TOR,SF,2281800.0,3112.96,22.0,13.2,733.0,69.0,2066.0,108.0,96.0,45.0
35,De'Anthony Melton,MEM,PG,1416852.0,3113.96,21.0,13.5,455.0,60.0,1167.0,175.0,77.0,20.0
36,Caris LeVert,BRK,SG,2625718.0,3118.43,25.0,16.1,842.0,45.0,1330.0,199.0,53.0,10.0
37,Dejounte Murray,SAS,PG,2321735.0,3224.63,23.0,16.2,720.0,66.0,1687.0,271.0,111.0,17.0
38,Naz Reid,MIN,C,898310.0,3339.44,20.0,15.3,269.0,30.0,495.0,35.0,19.0,22.0
39,Chris Silva,MIA,PF,466918.0,3510.66,23.0,17.3,133.0,44.0,346.0,23.0,9.0,21.0
40,Buddy Hield,SAC,SG,4861208.0,3517.52,27.0,16.0,1382.0,72.0,2216.0,213.0,66.0,17.0
41,Trae Young,ATL,PG,6273000.0,3528.12,21.0,23.9,1778.0,60.0,2120.0,560.0,65.0,8.0
42,Chris Clemons,HOU,SG,568422.0,3530.57,22.0,13.1,161.0,33.0,291.0,27.0,9.0,6.0
43,Collin Sexton,CLE,SG,4764960.0,3532.22,21.0,16.3,1349.0,65.0,2143.0,192.0,65.0,7.0
44,Brandon Clarke,MEM,PF,2478840.0,3541.2,23.0,20.9,700.0,58.0,1300.0,81.0,32.0,48.0
45,Aaron Holiday,IND,PG,2239200.0,3571.29,23.0,11.6,627.0,66.0,1617.0,225.0,55.0,16.0
46,Royce O'Neale,UTA,PF,1618520.0,3596.71,26.0,9.5,450.0,71.0,2049.0,180.0,59.0,32.0
47,Austin Rivers,HOU,SG,2174318.0,3648.18,27.0,10.4,596.0,68.0,1594.0,113.0,49.0,10.0
