player,tm,pos,pts,g,mp,ast,stl,blk,yr2019_20,avg_cost_per_pt,Salary Per Minute
Edmond Sumner,IND,PG,152,31,447,55,15,9,2000000,13157.89,4474.27
Noah Vonleh,DEN,PF,13,7,30,2,0,0,2000000,153846.15,66666.67
Landry Shamet,LAC,SG,492,53,1452,99,20,10,1995120,4055.12,1374.05
Mfiondu Kabengele,LAC,C,42,12,64,2,2,2,1977000,47071.43,30890.62
Kyle Kuzma,LAL,PF,782,61,1526,80,28,26,1974600,2525.06,1293.97
Jordan Poole,GSW,SG,503,57,1274,134,35,10,1964760,3906.08,1542.2
Tony Bradley,UTA,C,285,58,663,23,14,33,1962360,6885.47,2959.82
Keldon Johnson,SAS,SF,154,17,301,15,14,2,1950600,12666.23,6480.4
Derrick White,SAS,SG,765,68,1677,241,44,59,1948080,2546.51,1161.65
Robert Williams,BOS,C,150,29,388,27,22,35,1937520,12916.8,4993.61
Josh Hart,NOP,SF,656,65,1755,108,63,23,1934160,2948.41,1102.09
Jacob Evans,MIN,SG,0,2,4,0,0,0,1925880,inf,481470
Anderson Varejão,,,,,,,,,1913345,,
Džanan Musa,BRK,SF,192,40,487,43,15,1,1911600,9956.25,3925.26
Omari Spellman,GSW,PF,370,49,886,47,33,24,1897800,5129.19,2141.99
Shabazz Napier,WAS,PG,231,20,488,75,29,4,1882867,8150.94,3858.33
Glenn Robinson,,,,,,,,,1882867,,
James Ennis,ORL,SF,169,20,489,22,12,8,1882867,11141.22,3850.44
Tim Frazier,DET,PG,97,27,355,93,14,4,1882867,19411,5303.85
Larry Sanders,,,,,,,,,1865547,,
Bruno Caboclo,HOU,C,28,8,52,2,5,5,1845301,65903.61,35486.56
Mario Hezonja,POR,PF,256,53,871,50,36,9,1737145,6785.72,1994.43
Emmanuel Mudiay,UTA,PG,395,54,850,116,24,10,1737145,4397.84,2043.7
Raul Neto,PHI,PG,275,54,668,95,24,6,1737145,6316.89,2600.52
JaKarr Sampson,IND,SF,156,34,471,21,16,12,1737145,11135.54,3688.21
Pat Connaughton,MIL,SG,360,67,1243,107,25,31,1723050,4786.25,1386.2
Jahlil Okafor,NOP,C,243,30,467,37,7,22,1702486,7006.12,3645.58
Rodions Kurucs,BRK,PF,215,47,684,51,25,5,1699236,7903.42,2484.26
