player,tm,pos,pts,g,mp,ast,stl,blk,yr2019_20,avg_cost_per_pt,Salary Per Minute
Kristaps Porziņģis,DAL,PF,1164,57,1814,102,41,115,27285000,23440.72,15041.35
D'Angelo Russell,MIN,PG,260,12,392,79,17,4,27285000,104942.31,69604.59
Otto Porter,CHI,SF,167,14,331,25,15,6,27250576,163177.1,82328.02
Devin Booker,PHO,SG,1863,70,2512,456,49,18,27250000,14626.95,10847.93
Karl-Anthony Towns,MIN,C,926,35,1187,153,33,42,27250000,29427.65,22957.03
Bradley Beal,WAS,SG,1741,57,2053,347,71,23,27093019,15561.76,13196.79
Anthony Davis,LAL,PF,1618,62,2131,200,91,143,27093019,16744.76,12713.76
Andre Drummond,CLE,C,140,8,225,14,12,11,27093019,193521.56,120413.42
Hassan Whiteside,POR,C,1040,67,2008,78,26,196,27093018,26050.98,13492.54
Nikola Jokić,DEN,C,1456,73,2336,512,85,44,26573595,18251.1,11375.68
Jrue Holiday,NOP,SG,1167,61,2117,408,99,48,26131111,22391.7,12343.46
LaMarcus Aldridge,SAS,C,1001,53,1754,129,36,87,26000000,25974.03,14823.26
Steven Adams,OKC,C,684,63,1680,146,51,67,25842697,37781.72,15382.56
Giannis Antetokounmpo,MIL,PF,1857,63,1917,354,61,66,25842697,13916.37,13480.8
Marc Gasol,TOR,C,331,44,1161,147,34,38,25595700,77328.4,22046.25
Nicolas Batum,CHO,SF,79,22,505,66,17,8,25565217,323610.34,50624.19
Chandler Parsons,ATL,SF,14,5,54,3,4,1,25102511,1793036.5,464861.31
Rudy Gobert,UTA,C,1026,68,2333,101,51,135,25008427,24374.69,10719.43
Harrison Barnes,SAC,PF,1046,72,2482,159,43,12,24147727,23085.78,9729.14
Serge Ibaka,TOR,C,845,55,1485,77,28,46,23271604,27540.36,15671.11
Danilo Gallinari,OKC,PF,1160,62,1834,119,42,5,22615559,19496.17,12331.28
Victor Oladipo,IND,SG,275,19,528,56,17,4,21000000,76363.64,39772.73
Malcolm Brogdon,IND,PG,893,54,1666,381,35,10,20000000,22396.42,12004.8
Terry Rozier,CHO,PG,1134,63,2164,259,61,10,19894737,17543.86,9193.5
Aaron Gordon,ORL,PF,894,62,2017,228,51,39,19863636,22218.83,9848.11
Zach LaVine,CHI,SG,1530,60,2085,254,88,28,19500000,12745.1,9352.52
Kent Bazemore,SAC,SG,257,25,577,32,29,9,19269662,74979.23,33396.29
Tyler Johnson,BRK,SG,96,8,194,24,4,1,19245370,200472.6,99202.94
Goran Dragić,MIA,PG,953,59,1663,301,40,10,19217900,20165.69,11556.16
Jeff Teague,ATL,PG,193,25,519,100,19,6,19000000,98445.6,36608.86
Evan Turner,ATL,PG,62,19,251,38,9,8,18606557,300105.76,74129.71
Draymond Green,GSW,PF,345,43,1222,266,59,33,18539130,53736.61,15171.14
Tristan Thompson,CLE,C,684,57,1721,120,33,50,18539130,27103.99,10772.3
Tim Hardaway,,,,,,,,,18150000,,
Myles Turner,IND,C,749,62,1826,72,46,132,18000000,24032.04,9857.61
Julius Randle,NYK,PF,1248,64,2080,198,51,22,18000000,14423.08,8653.85
Gary Harris,DEN,SG,581,56,1780,118,76,14,17839286,30704.45,10022.07
Allen Crabbe,MIN,SG,29,9,131,5,0,0,17818456,614429.52,136018.75
Derrick Favors,NOP,C,459,51,1243,81,30,46,17650000,38453.16,14199.52
Reggie Jackson,LAC,PG,161,17,362,54,5,4,17286956,107372.4,47754.02
Andre Iguodala,MIA,SG,96,21,418,51,14,21,17185185,179012.34,41112.88
Bojan Bogdanović,UTA,SF,1275,63,2083,131,34,7,17000000,13333.33,8161.31
Evan Fournier,ORL,SG,1221,66,2076,209,71,15,17000000,13923.01,8188.82
Bismack Biyombo,CHO,C,393,53,1029,50,10,49,17000000,43257,16520.89
Clint Capela,HOU,C,543,39,1279,48,33,72,16456522,30306.67,12866.71
Gorgui Dieng,MEM,C,123,17,318,15,14,17,16229213,131944.82,51035.26
Ricky Rubio,PHO,PG,847,65,2016,570,94,11,16190476,19115.08,8030.99
Jonas Valančiūnas,MEM,C,1044,70,1845,131,30,76,16000000,15325.67,8672.09
Brandon Knight,DET,PG,104,9,221,38,5,1,15643750,150420.67,70786.2
Eric Bledsoe,MIL,PG,911,61,1646,328,57,26,15625000,17151.48,9492.71
Kelly Oubre,,,,,,,,,15625000,,
Dennis Schröder,OKC,PG,1229,65,1999,262,45,14,15500000,12611.88,7753.88
Ian Mahinmi,WAS,C,283,38,808,49,31,44,15450051,54593.82,19121.35
James Johnson,MIN,PF,168,14,338,53,19,19,15349400,91365.48,45412.43
Marvin Williams,MIL,PF,68,17,321,19,10,8,15006250,220680.15,46748.44
Bobby Portis,NYK,C,668,66,1393,98,32,18,15000000,22455.09,10768.13
Marcus Morris,LAC,PF,192,19,549,27,13,13,15000000,78125,27322.4
Danny Green,LAL,SG,547,68,1687,91,85,32,14634146,26753.47,8674.66
Cody Zeller,CHO,C,642,58,1341,88,40,25,14471910,22541.92,10791.88
Eric Gordon,HOU,SF,520,36,1016,54,23,13,14057730,27034.1,13836.35
Mason Plumlee,DEN,C,437,61,1057,154,33,38,14041096,32130.65,13283.91
Rudy Gay,SAS,PF,726,67,1461,114,35,33,14000000,19283.75,9582.48
J.J. Redick,NOP,SG,917,60,1581,119,20,10,13486300,14706.98,8530.23
Jordan Clarkson,UTA,SG,655,42,1039,66,29,8,13437500,20515.27,12933.11
Dewayne Dedmon,ATL,C,81,10,233,7,10,15,13333334,164609.06,57224.61
Solomon Hill,MIA,SF,49,11,187,10,12,5,13258781,270587.37,70902.57
Justise Winslow,MIA,SF,124,11,352,44,7,5,13000000,104838.71,36931.82
Michael Kidd-Gilchrist,DAL,SF,12,13,121,4,2,3,13000000,1083333.33,107438.02
Will Barton,DEN,SF,874,58,1916,212,61,29,12960000,14828.38,6764.09
Thaddeus Young,CHI,PF,659,64,1591,117,92,23,12900000,19575.11,8108.11
Courtney Lee,DAL,SG,107,24,345,12,18,6,12759670,119249.25,36984.55
Larry Nance,,,,,,,,,12727273,,
Marcus Smart,BOS,SG,776,60,1919,291,101,29,12553471,16177.15,6541.67
Terrence Ross,ORL,SG,1016,69,1889,82,77,24,12500000,12303.15,6617.26
Miles Plumlee,,,,,,,,,12500000,,
Patty Mills,SAS,PG,767,66,1485,118,53,6,12428571,16204.13,8369.41
Patrick Beverley,LAC,PG,405,51,1342,183,54,25,12345679,30483.16,9199.46
Trevor Ariza,POR,SF,231,21,702,41,34,8,12200000,52813.85,17378.92
Dion Waiters,LAL,SG,83,7,165,17,4,4,12100000,145783.13,73333.33
Brook Lopez,MIL,C,813,68,1817,99,46,163,12093024,14874.57,6655.49
Jusuf Nurkić,POR,C,141,8,253,32,11,16,12000000,85106.38,47430.83
Cory Joseph,SAC,PG,458,72,1759,251,53,21,12000000,26200.87,6822.06
Joe Ingles,UTA,SF,707,72,2137,373,65,11,11954546,16908.83,5594.08
Kelly Olynyk,MIA,C,549,67,1300,116,45,23,11667885,21252.98,8975.3
Maurice Harkless,NYK,SF,82,12,286,20,9,3,11511234,140380.9,40249.07
Tony Snell,DET,SF,474,59,1641,127,32,15,11392857,24035.56,6942.63
Robert Covington,HOU,C,255,22,726,32,35,48,11301219,44318.51,15566.42
Meyers Leonard,MIA,C,309,51,1034,55,14,15,11286515,36525.94,10915.39
T.J. Warren,IND,SF,1326,67,2202,99,78,34,10810000,8152.34,4909.17
Andre Roberson,OKC,SG,20,7,87,4,1,3,10740741,537037.05,123456.79
Spencer Dinwiddie,BRK,SG,1318,64,1994,432,40,21,10600000,8042.49,5315.95
Jeremy Lamb,IND,SG,577,46,1291,96,55,22,10500000,18197.57,8133.23
Dwight Powell,DAL,C,376,40,1061,59,34,22,10259375,27285.57,9669.53
Norman Powell,TOR,SG,830,52,1479,91,60,21,10116576,12188.65,6840.15
Josh Richardson,PHI,SG,755,55,1693,162,52,36,10100000,13377.48,5965.74
Tomáš Satoranský,CHI,PG,644,65,1878,354,80,7,10000000,15527.95,5324.81
DeAndre Jordan,BRK,C,465,56,1234,105,18,52,9881598,21250.75,8007.78
Taj Gibson,NYK,C,379,62,1025,52,27,30,9800000,25857.52,9560.98
Zion Williamson,NOP,PF,540,24,668,50,16,9,9757440,18069.33,14606.95
