,Player,Team,2019-20
171,Norman Powell,TOR,10116576
172,Josh Richardson,PHI,10100000
173,Tomáš Satoranský,CHI,10000000
174,DeAndre Jordan,BRK,9881598
175,Taj Gibson,NYK,9800000
176,Zion Williamson,NOP,9757440
177,Markelle Fultz,ORL,9745200
178,John Henson,DET,9732396
179,John Henson,DET,9732396
180,John Henson,DET,9732396
181,Matthew Dellavedova,CLE,9607500
182,Dante Exum,CLE,9600000
183,Dante Exum,CLE,9600000
184,Dante Exum,CLE,9600000
185,Deandre Ayton,PHO,9562920
186,Delon Wright,DAL,9473684
187,Jerami Grant,DEN,9346153
188,Al-Farouq Aminu,ORL,9258000
189,George Hill,MIL,9133907
190,George Hill,MIL,1000000
191,Kyle Anderson,MEM,9073050
192,Fred VanVleet,TOR,9000000
193,Ja Morant,MEM,8730240
194,C.J. Miles,WAS,8730158
195,Lonzo Ball,NOP,8719320
196,E'Twaun Moore,NOP,8664928
197,Bogdan Bogdanović,SAC,8529386
198,Tyus Jones,MEM,8408000
199,P.J. Tucker,HOU,8349039
200,Cristiano Felício,CHI,8156500
201,Ben Simmons,PHI,8113930
202,Kentavious Caldwell-Pope,LAL,8089282
203,Maxi Kleber,DAL,8000000
204,Lou Williams,LAC,8000000
205,Elfrid Payton,NYK,8000000
206,Thomas Bryant,WAS,7936508
207,RJ Barrett,NYK,7839960
208,Jayson Tatum,BOS,7830000
209,Jae Crowder,MIA,7815533
210,Jae Crowder,MIA,7815533
211,Jae Crowder,MIA,7815533
212,Wayne Ellington,NYK,7804878
213,Luka Dončić,DAL,7683360
214,Joe Harris,BRK,7670000
215,Seth Curry,DAL,7441860
216,Doug McDermott,IND,7333334
217,Langston Galloway,DET,7333333
218,Derrick Rose,DET,7317073
219,Brandon Ingram,NOP,7265485
220,D.J. Augustin,ORL,7250000
221,De'Andre Hunter,ATL,7068360
222,Josh Jackson,MEM,7059480
223,Dāvis Bertāns,WAS,7000000
224,Ersan İlyasova,MIL,7000000
225,DeMarre Carroll,SAS,6842307
226,DeMarre Carroll,SAS,6842307
227,DeMarre Carroll,SAS,6842307
228,DeMarre Carroll,HOU,811447
229,DeMarre Carroll,HOU,811447
230,DeMarre Carroll,HOU,811447
231,Nemanja Bjelica,SAC,6825000
232,Jaylen Brown,BOS,6534829
233,Jabari Parker,SAC,6500000
234,Jabari Parker,SAC,6500000
235,Jabari Parker,SAC,6500000
236,Ivica Zubac,LAC,6481482
237,Joakim Noah,NYK,6431666
238,Joakim Noah,LAC,289803
239,Joakim Noah,LAC,144901
240,Darius Garland,CLE,6400920
241,De'Aaron Fox,SAC,6392760
242,Trae Young,ATL,6273000
243,Montrezl Harrell,LAC,6000000
244,Ish Smith,WAS,5853659
245,Marco Belinelli,SAS,5846154
246,Jarrett Culver,MIN,5813640
247,Jonathan Isaac,ORL,5806440
248,Rodney Hood,POR,5718000
249,Trey Lyles,SAS,5500000
250,Aron Baynes,PHO,5453280
251,Kris Dunn,CHI,5348007
252,Coby White,CHI,5307120
253,Lauri Markkanen,CHI,5300400
254,Ryan Anderson,MIA,5214583
255,Ryan Anderson,HOU,500000
256,Daniel Theis,BOS,5000000
257,Jaxson Hayes,NOP,4862040
258,Buddy Hield,SAC,4861208
259,Frank Ntilikina,NYK,4855800
260,Ed Davis,UTA,4767000
261,Richaun Holmes,SAC,4767000
262,Frank Kaminsky,PHO,4767000
263,Mike Scott,PHI,4767000
264,Avery Bradley,LAL,4767000
265,Avery Bradley,MEM,2000000
266,Robin Lopez,MIL,4767000
267,JaMychal Green,LAC,4767000
268,Justin Holiday,IND,4767000
269,Garrett Temple,BRK,4767000
270,Enes Kanter,BOS,4767000
271,Collin Sexton,CLE,4764960
272,Rodney McGruder,LAC,4629630
273,Rui Hachimura,WAS,4469160
274,Kevon Looney,GSW,4464286
275,Jamal Murray,DEN,4444746
276,Kevin Knox,NYK,4380120
277,Cam Reddish,ATL,4245720
278,Zach Collins,POR,4240200
279,Mikal Bridges,PHO,4161000
280,Alex Len,SAC,4160000
281,Alex Len,SAC,4160000
282,Alex Len,SAC,4160000
283,Cameron Johnson,PHO,4033440
284,Malik Monk,CHO,4028400
285,Dorian Finney-Smith,DAL,4000000
286,JaVale McGee,LAL,4000000
287,Patrick McCaw,TOR,4000000
288,Reggie Bullock,NYK,4000000
289,Shai Gilgeous-Alexander,OKC,3952920
290,Nicolò Melli,NOP,3902439
291,P.J. Washington,CHO,3831840
292,Luke Kennard,DET,3827160
293,Miles Bridges,CHO,3755400
294,Jakob Poeltl,SAS,3754886
295,Tyler Herro,MIA,3640200
296,Donovan Mitchell,UTA,3635760
297,Stanley Johnson,TOR,3623000
298,Jake Layman,MIN,3581986
299,Thon Maker,DET,3569643
300,Jerome Robinson,WAS,3567720
301,Jerome Robinson,WAS,3567720
302,Jerome Robinson,WAS,3567720
303,Allonzo Trier,NYK,3551100
304,Danuel House,HOU,3540000
305,Domantas Sabonis,IND,3529555
306,Boban Marjanović,DAL,3500000
307,T.J. McConnell,IND,3500000
308,Dario Šarić,PHO,3481986
309,Romeo Langford,BOS,3458400
310,Bam Adebayo,MIA,3454080
311,Kyle Korver,PHO,3440000
312,Kyle Korver,MIL,2564753
